     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      6144,        82,         0,   0.027,pymatching,98f7d6ecc552bd24d9c08d0d7bacb2d69d417699916e2b01918d052347d5ee85,"{""base"":""ZXinterleaved"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.002}",
      7168,         0,         0,   0.029,pymatching,3910ea1323d6e3b7af91889031a3bfb98c34559595b12f9756a89fac0a335d5a,"{""base"":""NZ"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
      3072,         0,         0,   0.027,pymatching,c604ea41e9ede89988e8145327ffe0330ba278964ad560b765d4fc7c14540d47,"{""base"":""ZXinterleaved"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
       273,        50,         0,   0.052,pymatching,f94fec860a6be07fa9caf7d5387cabf09873154ce210988a058b4095b37c2af3,"{""base"":""ZXinterleaved"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.01}",
     16384,         0,         0,   0.019,pymatching,61c54bef10b53c20b6e75dc25d73a5d631d50f2b28505a700cda8dc1a24fc0a4,"{""base"":""ZXinterleaved"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
     21504,         0,         0,   0.038,pymatching,5e214eef1ebcdeb505c25e4670e3c816931c00c01b9f2d603e418012126af703,"{""base"":""NZ"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
     25600,         0,         0,   0.026,pymatching,2a57e1b73a0da766721b846dd6592db77cb6ade765162f99f844af4ae13e676b,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      8192,         0,         0,   0.029,pymatching,5be7004a166950802e87ce9141d0577deb7cedb929b2e85ee7284edd83c86da0,"{""base"":""ZXinterleaved"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      5120,         0,         0,   0.022,pymatching,eaf68683e1924d54378739cb414855801b76475baa44b676b708c9748a2e024b,"{""base"":""NZ"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
      1024,        17,         0,   0.022,pymatching,97eeafad6b387179f5bc8ad0ddce1ef1540b8a3bb8b7d5d4bf6b35fc43abb9bb,"{""base"":""NZ"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.005}",
      7168,         0,         0,   0.041,pymatching,0a85757493fc6471ae811095e6f1daa649b69f593c2859ff29efab25ca6950ff,"{""base"":""ZXinterleaved"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
     18432,         0,         0,   0.039,pymatching,ee361094d26450a5f2ae389547d4ffc1a3f673ecaf4b429b27feeffb9aed96d6,"{""base"":""ZXinterleaved"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
     15360,         0,         0,   0.039,pymatching,1474bef09726297c85e45a30f3b132a6457b4251af3fa2bf9dd55c9f0915e273,"{""base"":""NZ"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
